STATION STATION_NAME ELEVATION LATITUDE LONGITUDE DATE MDPR DAPR SNOW
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231208
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231209
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231210
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231211
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231212
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231213
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231214
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231215
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231216
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231217
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231218
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231219
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231220
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231221
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231222
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231223
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231224
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231225
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231226
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231227
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231228
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231229
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231230
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL US 30.5 20231231
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US 181.4 34.3347 -9999
